term,term_frequency
müßte_VERB,66998
gewinnt_VERB,66994
komisch_ADJ,66970
rufe_VERB,66938
reisen_VERB,66929
doppelt_ADJ,66717
füllte_VERB,66648
lernte_VERB,66563
erhebt_VERB,66437
füllen_VERB,66333
feinen_ADJ,66310
sauer_ADJ,65880
reiten_VERB,65744
gewollt_VERB,65738
begeben_VERB,65629
vergaß_VERB,65622
fangen_VERB,65542
ganzer_ADJ,65386
hinauf_ADV,65348
ruhiger_ADJ,65213
nutzte_VERB,64921
bunten_ADJ,64582
findest_VERB,64557
lieb_VERB,64497
verhält_VERB,63937
treibt_VERB,63860
realen_ADJ,63792
ertönte_VERB,63656
angeht_VERB,63605
freier_ADJ,63470
blicken_VERB,63372
schiebt_VERB,63303
lässt_ADJ,63187
komm_VERB,63066
nachher_ADV,63040
hübsche_ADJ,62970
maximal_ADJ,62947
danken_VERB,62941
gehofft_VERB,62896
stirbt_VERB,62720
heutige_ADJ,62683
lebe_VERB,62671
spürt_VERB,62669
stürzen_VERB,62656
dick_ADJ,62582
schuld_ADJ,62405
leiten_VERB,62176
typisch_ADJ,62051
