term,term_frequency
tercer_ADJ,66049
dioses_NOUN,65940
prensa_NOUN,65643
diario_NOUN,65636
sentido_VERB,65502
hiciera_VERB,65400
igual_ADV,65315
borde_NOUN,65020
debo_VERB,64918
informe_NOUN,64802
realiza_VERB,64778
firme_ADJ,64725
cita_NOUN,64623
caminar_VERB,64522
chicas_NOUN,64506
encima_ADV,64481
deseaba_VERB,64308
ganar_VERB,64305
voces_NOUN,64084
quedar_VERB,64054
aliento_NOUN,63987
regreso_NOUN,63907
vale_VERB,63855
hablado_VERB,63828
acaba_VERB,63761
saben_VERB,63734
hermosa_ADJ,63534
similar_ADJ,63523
tengan_VERB,63482
vivo_ADJ,63475
haberse_VERB,63473
subir_VERB,63366
relato_NOUN,63302
juez_NOUN,63175
empieza_VERB,63169
explica_VERB,63148
cabe_VERB,63119
penal_ADJ,63101
colegio_NOUN,62954
cine_NOUN,62818
formar_VERB,62798
luces_NOUN,62729
debajo_NOUN,62417
techo_NOUN,62415
siguen_VERB,62162
corte_NOUN,62118
privado_ADJ,62013
amistad_NOUN,61996
modelos_NOUN,61946
marca_NOUN,61884
taza_NOUN,61815
vemos_VERB,61726
finales_NOUN,61622
verla_VERB,61598
tomado_VERB,61563
agentes_NOUN,61476
gastos_NOUN,61199
rojo_ADJ,61187
bolsa_NOUN,61174
depende_VERB,61109
riesgos_NOUN,61032
agente_NOUN,60972
deseos_NOUN,60955
acabar_VERB,60851
menores_ADJ,60838
directo_ADJ,60828
camisa_NOUN,60716
toma_VERB,60640
suya_NOUN,60630
auto_NOUN,60479
notas_NOUN,60245
detalle_NOUN,60150
espada_NOUN,60136
muertos_NOUN,60088
busca_VERB,59984
amplia_ADJ,59901
partida_NOUN,59843
centros_NOUN,59744
campos_NOUN,59716
humor_NOUN,59690
quiera_VERB,59690
gritos_NOUN,59566
breve_ADJ,59514
hacerle_VERB,59453
utiliza_VERB,59386
arma_NOUN,59314
pasado_ADJ,59169
risa_NOUN,58988
modos_NOUN,58986
copa_NOUN,58961
palacio_NOUN,58900
mezcla_NOUN,58813
incluye_VERB,58784
escala_NOUN,58775
pintura_NOUN,58706
abre_VERB,58596
entidad_NOUN,58575
mostrar_VERB,58441
barrio_NOUN,58436
grito_NOUN,58405
trato_NOUN,58347
patio_NOUN,58337
reforma_NOUN,58121
prisa_NOUN,58043
reloj_NOUN,57974
planeta_NOUN,57890
tomando_VERB,57884
dominio_NOUN,57858
vueltas_NOUN,57854
acaso_ADV,57836
punta_NOUN,57807
permiso_NOUN,57710
servir_VERB,57616
bajar_VERB,57596
abierto_ADJ,57269
regla_NOUN,57264
estados_NOUN,57240
esencia_NOUN,57240
elegir_VERB,57131
calma_NOUN,57124
cadena_NOUN,57089
suyo_NOUN,56989
dura_ADJ,56777
olvidar_VERB,56767
venta_NOUN,56632
tocar_VERB,56586
quedan_VERB,56497
acerca_VERB,56231
piezas_NOUN,56197
tienes_ADJ,56112
fotos_NOUN,56041
guardia_NOUN,55931
hacemos_VERB,55877
verse_VERB,55870
plata_NOUN,55836
gracias_NOUN,55816
odio_NOUN,55810
arena_NOUN,55742
lector_NOUN,55722
verde_ADJ,55621
maneras_NOUN,55567
llegaba_VERB,55556
llevan_VERB,55549
cuatro_NOUN,55426
banco_NOUN,55340
labor_NOUN,55306
dios_NOUN,55298
global_ADJ,55156
hoja_NOUN,55018
mundial_ADJ,54968
vaso_NOUN,54960
repente_ADV,54945
toma_NOUN,54834
matar_VERB,54819
poderes_NOUN,54776
eres_ADJ,54758
letras_NOUN,54745
lados_NOUN,54733
figuras_NOUN,54576
foto_NOUN,54561
vieja_ADJ,54419
deber_NOUN,54386
escrito_NOUN,54203
piedras_NOUN,54184
plato_NOUN,54065
fortuna_NOUN,54035
equipos_NOUN,53944
tren_NOUN,53852
enfoque_NOUN,53628
muerto_VERB,53441
nieve_NOUN,53330
rasgos_NOUN,53307
factor_NOUN,53247
cristal_NOUN,53212
abajo_NOUN,53129
plena_ADJ,53100
consejo_NOUN,52993
amable_ADJ,52963
cerrar_VERB,52954
justo_ADV,52781
gloria_NOUN,52769
revista_NOUN,52761
dulce_VERB,52685
motor_NOUN,52503
cintura_NOUN,52495
esquina_NOUN,52462
radio_NOUN,52390
comunes_ADJ,52340
traje_NOUN,52301
tercera_ADJ,52215
soledad_NOUN,52172
altos_ADJ,51956
puerto_NOUN,51900
errores_NOUN,51895
corto_ADJ,51840
sentada_ADJ,51827
pese_VERB,51788
interna_ADJ,51769
caminos_NOUN,51756
debate_NOUN,51712
hasta_ADV,51601
aplicar_VERB,51592
privada_ADJ,51523
logrado_VERB,51323
puestos_NOUN,51316
boda_NOUN,51301
vecinos_NOUN,51299
margen_NOUN,51292
riqueza_NOUN,51272
euros_NOUN,51199
parque_NOUN,51188
reducir_VERB,51120
tabla_NOUN,51107
pierna_NOUN,51100
letra_NOUN,51084
raro_ADJ,51068
repente_NOUN,50988
claro_ADV,50936
actores_NOUN,50847
papeles_NOUN,50839
pieza_NOUN,50826
minuto_NOUN,50821
digital_ADJ,50639
reales_ADJ,50562
orgullo_NOUN,50492
adultos_NOUN,50483
hierro_NOUN,50466
observa_VERB,50364
impulso_NOUN,50338
platos_NOUN,50239
sombras_NOUN,50048
templo_NOUN,50012
puente_NOUN,49834
precios_NOUN,49825
parar_VERB,49652
zapatos_NOUN,49538
afirma_VERB,49492
libres_ADJ,49453
juegos_NOUN,49367
amplio_ADJ,49255
daban_VERB,49214
generar_VERB,49190
rabia_NOUN,48995
locura_NOUN,48925
incapaz_ADJ,48906
sabido_VERB,48862
altas_ADJ,48804
interno_ADJ,48779
irse_VERB,48765
ofrecer_VERB,48695
medio_ADJ,48643
forman_VERB,48581
botella_NOUN,48565
beber_VERB,48451
ideal_ADJ,48414
oferta_NOUN,48312
amenaza_NOUN,48249
perros_NOUN,48222
esposo_NOUN,48180
miradas_NOUN,48157
vuelo_NOUN,48155
mando_NOUN,48117
alcohol_NOUN,48077
contaba_VERB,48055
dijeron_VERB,48023
magia_NOUN,47997
mejilla_NOUN,47904
abogado_NOUN,47807
humo_NOUN,47677
oficio_NOUN,47675
total_NOUN,47638
darme_VERB,47590
contado_VERB,47565
postura_NOUN,47526
regalo_NOUN,47461
viejos_ADJ,47454
saber_NOUN,47436
ayer_ADV,47349
sufrir_VERB,47324
contigo_ADJ,47136
columna_NOUN,47127
activa_ADJ,47097
artista_NOUN,47029
espera_NOUN,46784
capa_NOUN,46739
paisaje_NOUN,46724
viven_VERB,46704
entra_VERB,46649
pecado_NOUN,46560
tropas_NOUN,46431
decidir_VERB,46351
mierda_NOUN,46249
deuda_NOUN,46199
hermoso_ADJ,46148
paseo_NOUN,46079
baile_NOUN,46014
cerveza_NOUN,45896
vieron_VERB,45869
diga_VERB,45832
vivido_VERB,45687
rico_ADJ,45478
largas_ADJ,45422
viejo_ADJ,45419
vienen_VERB,45284
ciclo_NOUN,45148
frente_ADJ,45139
moverse_VERB,45123
pausa_NOUN,45089
conozco_VERB,45083
escribe_VERB,45005
restos_NOUN,44996
oscura_ADJ,44974
crea_VERB,44905
andar_VERB,44885
bases_NOUN,44852
nubes_NOUN,44808
pista_NOUN,44697
tesis_NOUN,44685
antigua_NOUN,44673
llave_NOUN,44622
desea_VERB,44546
intenso_ADJ,44483
luchar_VERB,44462
novia_NOUN,44458
recibe_VERB,44353
visitar_VERB,44302
formal_ADJ,44175
huesos_NOUN,44139
exige_VERB,44113
echar_VERB,44109
produjo_VERB,44107
pide_VERB,44040
hielo_NOUN,43997
pobreza_NOUN,43920
graves_ADJ,43856
recoger_VERB,43725
famoso_ADJ,43641
expresa_VERB,43625
derecha_ADJ,43606
poema_NOUN,43500
previa_ADJ,43490
suma_NOUN,43420
fiscal_ADJ,43398
salto_NOUN,43397
gris_ADJ,43369
superar_VERB,43260
viajes_NOUN,43234
remedio_NOUN,43056
moderna_ADJ,43052
tela_NOUN,42898
cercano_ADJ,42836
combate_NOUN,42761
anciano_NOUN,42757
delitos_NOUN,42705
falta_VERB,42681
propios_ADJ,42570
puro_ADJ,42558
banda_NOUN,42552
pedido_VERB,42400
viva_ADJ,42356
fracaso_NOUN,42306
verdes_ADJ,42263
sabor_NOUN,42232
llegan_VERB,42221
ramas_NOUN,42205
castigo_NOUN,42117
humanos_NOUN,42060
lago_NOUN,42013
orilla_NOUN,41974
cuesta_VERB,41972
dieta_NOUN,41872
entero_ADJ,41687
fondos_NOUN,41685
pasan_VERB,41669
barra_NOUN,41616
perdido_ADJ,41607
terror_NOUN,41573
intenta_VERB,41553
compra_NOUN,41475
dejaron_VERB,41426
pura_ADJ,41383
fruto_NOUN,41377
dejan_VERB,41282
largos_ADJ,41262
llamado_VERB,41256
cuento_NOUN,41213
tienes_NOUN,41158
abrazo_NOUN,41127
llaman_VERB,41125
alivio_NOUN,41083
rapidez_NOUN,41048
activo_ADJ,41015
diera_VERB,40958
indica_VERB,40898
previo_ADJ,40818
vital_ADJ,40787
romper_VERB,40668
golpes_NOUN,40636
alas_NOUN,40588
acceder_VERB,40580
basta_VERB,40546
veremos_VERB,40540
crees_VERB,40528
existir_VERB,40527
tercero_ADJ,40510
nave_NOUN,40447
querido_ADJ,40279
hijas_NOUN,40219
promesa_NOUN,40214
probar_VERB,40201
ventaja_NOUN,40199
signos_NOUN,40068
posee_VERB,40042
cola_NOUN,40039
ruta_NOUN,39979
estando_VERB,39898
crecer_VERB,39865
tasa_NOUN,39856
talento_NOUN,39844
frases_NOUN,39813
perfil_NOUN,39807
eficaz_ADJ,39800
blancas_ADJ,39702
hagas_VERB,39672
marcas_NOUN,39597
levanta_VERB,39596
dosis_NOUN,39536
sienta_VERB,39507
escrito_VERB,39505
mejora_NOUN,39496
mapa_NOUN,39474
salvar_VERB,39463
seguido_ADJ,39462
enfermo_NOUN,39423
alegre_ADJ,39416
metal_NOUN,39389
exceso_NOUN,39325
raza_NOUN,39320
jornada_NOUN,39314
cenar_VERB,39190
