term,term_frequency
films_NOUN,98802
gars_NOUN,98387
pousser_VERB,98363
moral_ADJ,98260
envie_NOUN,97983
locales_ADJ,97754
dollars_NOUN,97674
plafond_NOUN,97661
cesse_VERB,97478
mettait_VERB,97270
empire_NOUN,97256
analyse_VERB,97184
revenus_NOUN,96975
doute_VERB,96973
assise_VERB,96806
motif_NOUN,96677
fatigue_NOUN,96625
former_VERB,96255
gardes_NOUN,96086
lance_VERB,96026
obtenu_VERB,95745
assis_VERB,95716
ouverte_VERB,95450
blancs_ADJ,95433
traiter_VERB,95348
ferme_ADJ,95261
inconnu_ADJ,94899
tendre_VERB,94728
ferme_NOUN,94705
revue_NOUN,94641
trait_NOUN,94549
froide_ADJ,94481
couteau_NOUN,94389
soupe_NOUN,94282
outil_NOUN,94111
adultes_NOUN,94103
cuir_NOUN,94073
comprit_VERB,94073
vendre_VERB,94039
partie_VERB,93770
vagues_NOUN,93545
demeure_NOUN,93493
office_NOUN,93370
pause_NOUN,93360
seules_ADJ,93060
parce_NOUN,92929
chiens_NOUN,92821
trajet_NOUN,92781
temple_NOUN,92558
nuits_NOUN,92554
bouger_VERB,92342
culte_NOUN,92288
euros_NOUN,92254
allant_VERB,92163
talent_NOUN,92077
entre_VERB,92034
passent_VERB,91824
prie_VERB,91753
russe_ADJ,91697
stress_NOUN,91694
cellule_NOUN,91591
partage_NOUN,91490
ouverte_ADJ,91440
juges_NOUN,91411
quart_NOUN,91269
part_VERB,91258
tiens_VERB,91095
attendu_VERB,90936
club_NOUN,90936
croyais_VERB,90929
soupira_VERB,90781
visible_ADJ,90754
locaux_ADJ,90678
union_NOUN,90657
lueur_NOUN,90625
fournir_VERB,90610
voies_NOUN,90558
manteau_NOUN,90505
faim_NOUN,90499
aurais_VERB,90496
drame_NOUN,90461
pure_ADJ,90417
maire_NOUN,90069
erreurs_NOUN,90068
phrases_NOUN,90038
rejoint_VERB,89942
mien_ADJ,89918
sentais_VERB,89912
salut_NOUN,89846
visiter_VERB,89828
offre_NOUN,89775
liquide_ADJ,89622
fuir_VERB,89561
jette_VERB,89467
portent_VERB,89449
remis_VERB,89394
dizaine_NOUN,89358
toile_NOUN,89232
prouver_VERB,89200
week_NOUN,89181
muscles_NOUN,89052
intense_ADJ,89044
cycle_NOUN,88999
perdue_VERB,88889
venant_VERB,88861
stade_NOUN,88852
jaune_ADJ,88696
avant_NOUN,88628
tables_NOUN,88596
moyenne_NOUN,88549
diable_NOUN,88350
solide_ADJ,88322
croix_NOUN,88292
papiers_NOUN,88136
pape_NOUN,88116
pourrez_VERB,87942
revenu_NOUN,87922
